1 --> sim
Date of simulation:  24/03/2015,10:25:43
1 28/03/2010,00:00:00  1.11667136019961E-0001
1 29/03/2010,00:00:00  1.16782692855707E-0001
1 30/03/2010,00:00:00  1.22530985547638E-0001
1 31/03/2010,00:00:00  1.28469098996425E-0001
1 01/04/2010,00:00:00  1.34407212445212E-0001
1 02/04/2010,00:00:00  1.40345325893999E-0001
1 03/04/2010,00:00:00  1.46283439342786E-0001
1 04/04/2010,00:00:00  1.52221552791573E-0001
1 05/04/2010,00:00:00  1.58159666240360E-0001
1 06/04/2010,00:00:00  1.64142978005482E-0001
1 07/04/2010,00:00:00  1.70668669566620E-0001
1 08/04/2010,00:00:00  1.77194361127759E-0001
1 09/04/2010,00:00:00  1.83720052688897E-0001
1 10/04/2010,00:00:00  1.90245744250036E-0001
1 11/04/2010,00:00:00  1.96771435811174E-0001
1 12/04/2010,00:00:00  2.03297127372312E-0001
1 13/04/2010,00:00:00  2.09822818933451E-0001
1 14/04/2010,00:00:00  2.13838629124921E-0001
1 15/04/2010,00:00:00  2.13838629124921E-0001
1 16/04/2010,00:00:00  2.13838629124921E-0001
1 17/04/2010,00:00:00  2.13838629124921E-0001
1 18/04/2010,00:00:00  2.13838629124921E-0001
1 19/04/2010,00:00:00  2.13838629124921E-0001
1 20/04/2010,00:00:00  2.13838629124921E-0001
1 21/04/2010,00:00:00  2.13838629124921E-0001
1 22/04/2010,00:00:00  2.13838629124921E-0001
1 23/04/2010,00:00:00  2.13838629124921E-0001
1 24/04/2010,00:00:00  2.13838629124921E-0001
1 25/04/2010,00:00:00  2.13838629124921E-0001
1 26/04/2010,00:00:00  2.13838629124921E-0001
1 27/04/2010,00:00:00  2.13838629124921E-0001
1 28/04/2010,00:00:00  2.13838629124921E-0001
1 29/04/2010,00:00:00  2.13838629124921E-0001
1 30/04/2010,00:00:00  2.13838629124921E-0001
1 01/05/2010,00:00:00  2.13838629124921E-0001
1 02/05/2010,00:00:00  2.13838629124921E-0001
1 03/05/2010,00:00:00  2.13838629124921E-0001
1 04/05/2010,00:00:00  2.13838629124921E-0001
1 05/05/2010,00:00:00  2.13838629124921E-0001
1 06/05/2010,00:00:00  2.13838629124921E-0001
1 07/05/2010,00:00:00  2.13838629124921E-0001
1 08/05/2010,00:00:00  2.13838629124921E-0001
