1 --> sim
Date of simulation:  24/03/2015,10:25:43
1 28/03/2010,00:00:00  5.07825911536631E-0002
1 29/03/2010,00:00:00  5.07825911536631E-0002
1 30/03/2010,00:00:00  5.07825911536631E-0002
1 31/03/2010,00:00:00  6.15281935628143E-0002
1 01/04/2010,00:00:00  6.15281935628144E-0002
1 02/04/2010,00:00:00  6.15281935628144E-0002
1 03/04/2010,00:00:00  6.20686204922069E-0002
1 04/04/2010,00:00:00  6.15202461079703E-0002
1 05/04/2010,00:00:00  6.15202461079704E-0002
1 06/04/2010,00:00:00  6.15202461079703E-0002
1 07/04/2010,00:00:00  7.41451240478195E-0002
1 08/04/2010,00:00:00  7.18044665257020E-0002
1 09/04/2010,00:00:00  7.18044665257020E-0002
1 10/04/2010,00:00:00  7.18044665257020E-0002
1 11/04/2010,00:00:00  7.72332233733327E-0002
1 12/04/2010,00:00:00  7.17246318661780E-0002
1 13/04/2010,00:00:00  7.17246318661780E-0002
1 14/04/2010,00:00:00  7.17246318661780E-0002
1 15/04/2010,00:00:00  9.37999557523355E-0002
1 16/04/2010,00:00:00  8.11090361540061E-0002
1 17/04/2010,00:00:00  8.11090361540061E-0002
1 18/04/2010,00:00:00  8.11090361540062E-0002
1 19/04/2010,00:00:00  1.11496145203504E-0001
1 20/04/2010,00:00:00  8.06621669032781E-0002
1 21/04/2010,00:00:00  8.06621669032782E-0002
1 22/04/2010,00:00:00  8.06621669032782E-0002
1 23/04/2010,00:00:00  1.39114891880327E-0001
1 24/04/2010,00:00:00  7.98025680065569E-0002
1 25/04/2010,00:00:00  7.98025680065568E-0002
1 26/04/2010,00:00:00  1.70637077518916E-0001
1 27/04/2010,00:00:00  7.84667663960809E-0002
1 28/04/2010,00:00:00  7.84667663960810E-0002
1 29/04/2010,00:00:00  7.84667663960810E-0002
1 30/04/2010,00:00:00  2.38121075891952E-0001
1 01/05/2010,00:00:00  7.61189089034947E-0002
1 02/05/2010,00:00:00  7.61189089034947E-0002
1 03/05/2010,00:00:00  7.61189089034947E-0002
1 04/05/2010,00:00:00  3.87301920506068E-0001
1 05/05/2010,00:00:00  7.15426881446333E-0002
1 06/05/2010,00:00:00  7.15426881446333E-0002
1 07/05/2010,00:00:00  7.15426881446333E-0002
1 08/05/2010,00:00:00  6.34303489756977E-0001
